,Province,% Renwables,Available?
0,Sichuan,0.804,Yes
1,Yunnan,0.775,Yes
2,Qinghai,0.771,Yes
3,Gansu,0.469,Yes
4,Hunan,0.464,Yes
5,Chongqing,0.455,Yes
6,Guangxi,0.431,Yes
7,Hubei,0.415,Yes
8,Guizhou,0.361,Yes
9,Shanghai,0.319,Yes
10,Jilin,0.299,Yes
11,Jiangxi,0.293,Yes
12,Henan,0.29,Yes
13,Guangdong,0.29,Yes
14,Ningxia,0.288,Yes
15,Shaanxi,0.267,Yes
16,Shanxi,0.249,Yes
17,Nei Mongol,0.241,Yes
18,Heilongjiang,0.233,Yes
19,Xinjiang,0.202,Yes
20,Beijing,0.198,Yes
21,Tianjin,0.195,Yes
22,Anhui,0.193,Yes
23,Liaoning,0.191,Yes
24,Fujian,0.19,Yes
25,Zhejiang,0.189,Yes
26,Jiangsu,0.186,Yes
27,Hebei,0.176,Yes
28,Hainan,0.175,Yes
29,Shandong,0.158,Yes
30,Xizang,0,No
