,Province,% Renwables
0,Sichuan,0.804
1,Yunnan,0.775
2,Qinghai,0.7709999999999999
3,Gansu,0.469
4,Hunan,0.46399999999999997
5,Chongqing,0.455
6,Guangxi,0.431
7,Hubei,0.415
8,Guizhou,0.361
9,Shanghai,0.319
10,Jilin,0.299
11,Jiangxi,0.293
12,Henan,0.29
13,Guangdong,0.29
14,Ningxia,0.28800000000000003
15,Shaanxi,0.267
16,Shanxi,0.249
17,Inner Mongolia,0.24100000000000002
18,Heilongjiang,0.233
19,Xinjiang,0.20199999999999999
20,Beijing,0.198
21,Tianjin,0.195
22,Anhui,0.193
23,Liaoning,0.191
24,Fujian,0.19
25,Zhejiang,0.18899999999999997
26,Jiangsu,0.18600000000000003
27,Hebei,0.17600000000000002
28,Hainan,0.175
29,Shandong,0.158
